X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766772.67;6284765.97;0.81;0.41;0.73;6480
766774.98;6284764.71;0.74;0.37;0.79;5920
766777.77;6284763.22;0.69;0.31;0.81;5520
766780.14;6284761.95;0.7;0.37;0.82;5600
766782.94;6284760.55;0.71;0.49;0.76;5680
766785.71;6284759.19;0.75;0.52;0.86;6000
766788.32;6284757.87;0.78;0.49;0.84;6240
766790.98;6284756.41;0.68;0.63;0.78;5440
766793.64;6284755.01;0.71;0.52;0.88;5680
766796.24;6284753.63;0.68;0.55;0.78;5440
766798.91;6284752.23;0.7;0.44;0.78;5600
766800.78;6284750.94;0.67;0.43;0.86;5360
766791.47;6284750.17;0.82;0.26;0.86;6560
766789.19;6284751.29;0.84;0.18;0.82;6720
766786.34;6284752.81;0.65;0.22;0.85;5200
766783.75;6284754.18;0.75;0.23;0.91;6000
766781.19;6284755.63;0.71;0.18;0.9;5680
766778.57;6284757.06;0.73;0.26;0.85;5840
766775.87;6284758.5;0.73;0.24;0.77;5840
766773.47;6284759.67;0.6;0.29;0.75;4800
766770.67;6284761.16;0.77;0.21;0.88;6160
766767.94;6284762.54;0.77;0.25;0.75;6160
766765.38;6284763.91;0.75;0.39;0.72;6000
766762.72;6284765.29;0.77;0.2;0.85;6160
766760.29;6284766.61;0.69;0.14;0.83;5520
766757.27;6284768.28;0.76;0.27;0.82;6080
766754.72;6284769.53;0.65;0.25;0.82;5200
766751.9;6284770.97;0.67;0.24;0.77;5360
766749.54;6284772.33;0.66;0.19;0.79;5280
766746.88;6284773.75;0.76;0.3;0.8;6080
766744.21;6284775.26;0.69;0.19;0.84;5520
766741.83;6284776.48;0.8;0.35;0.7;6400
766739.06;6284777.96;0.64;0.2;0.93;5120
766736.47;6284779.43;0.67;0.23;0.86;5360
766733.64;6284780.83;0.63;0.25;0.86;5040
766731.11;6284782.06;0.6;0.27;0.91;4800
766728.44;6284783.39;0.64;0.21;0.84;5120
766725.79;6284784.82;0.7;0.17;0.82;5600
766723.17;6284786.27;0.65;0.31;0.67;5200
766720.48;6284787.71;0.66;0.2;0.88;5280
766717.69;6284789.25;0.75;0.17;0.78;6000
766714.97;6284790.56;0.78;0.24;0.71;6240
766712.51;6284791.87;0.69;0.19;0.77;5520
766709.4;6284793.51;0.62;0.29;0.8;4960
766707.43;6284794.63;0.63;0.22;0.82;5040
766704.35;6284796.29;0.65;0.32;0.72;5200
766701.56;6284797.77;0.62;0.16;0.85;4960
766698.4;6284799.38;0.64;0.17;0.81;5120
766696.54;6284800.4;0.73;0.35;0.71;5840
766693.62;6284801.99;0.7;0.25;0.81;5600
766690.83;6284803.41;0.7;0.27;0.77;5600
766687.84;6284804.99;0.66;0.23;0.85;5280
766685.54;6284806.11;0.66;0.29;0.83;5280
766682.73;6284807.56;0.71;0.42;0.87;5680
766680.28;6284808.89;0.71;0.16;0.86;5680
766677.21;6284810.44;0.64;0.16;0.85;5120
766674.6;6284811.89;0.64;0.21;0.78;5120
766671.93;6284813.34;0.68;0.18;0.86;5440
766669.16;6284814.82;0.69;0.25;0.67;5520
766666.57;6284816.19;0.73;0.27;0.93;5840
766664.34;6284817.36;0.67;0.19;0.8;5360
766661.39;6284818.96;0.77;0.44;0.51;6160
766658.09;6284820.74;0.73;0.38;0.56;5840
766656.04;6284821.82;0.71;0.34;0.77;5680
766652.93;6284823.37;0.72;0.26;0.82;5760
766650.61;6284824.62;0.67;0.48;0.68;5360
766647.19;6284823.93;0.76;0.31;0.74;6080
766647.61;6284820.46;0.78;0.39;0.7;6240
766650.65;6284819.02;0.71;0.35;0.76;5680
766652.89;6284817.87;0.78;0.38;0.76;6240
766655.41;6284816.51;0.66;0.24;0.8;5280
766657.92;6284815.14;0.81;0.28;0.73;6480
766660.68;6284813.64;0.65;0.26;0.8;5200
766662.3;6284812.74;0.68;0.16;0.73;5440
766666.15;6284810.8;0.68;0.19;0.85;5440
766668.04;6284809.84;0.79;0.42;0.71;6320
766671.31;6284808.07;0.69;0.48;0.71;5520
766673.29;6284806.98;0.79;0.39;0.76;6320
766676.2;6284805.5;0.81;0.49;0.61;6480
766679.26;6284803.85;0.8;0.47;0.64;6400
766681.52;6284802.76;0.86;0.25;0.53;6880
766684.45;6284801.2;0.76;0.21;0.75;6080
766686.73;6284800.01;0.66;0.25;0.86;5280
766689.33;6284798.66;0.75;0.3;0.76;6000
766692.19;6284797.23;0.76;0.31;0.78;6080
