X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766788.79;6284757.56;0.41;0.2;39;3280;31.4;56.8
766792.25;6284755.7;0.44;0.1;46;3520;35.5;51.2
766794.71;6284754.38;0.37;0.13;23;2960;21.4;69.6
766796.59;6284753.37;0.48;0.05;39;3840;31;56.8
766799.15;6284752.17;0.53;0.17;17;4240;17;82.4
766800.38;6284751.46;0.54;0.06;13;4320;14.9;85.6
766800.41;6284751.45;0.26;0.06;53;2080;31.9;45.6
766800.41;6284751.45;0.64;0.44;10;5120;15.8;104
766800.41;6284751.45;0.25;0.07;55;2000;33.2;44
766800.41;6284751.45;0.62;0.43;14;4960;14.4;107.2
766800.41;6284751.44;0.61;0.08;14;4880;12.8;92.8
766800.48;6284751.38;0.29;0.06;30;2320;20.1;64
766791.4;6284750.44;0.39;0.12;47;3120;35.4;50.4
766788.89;6284751.7;0.41;0.2;33;3280;27.8;61.6
766785.42;6284753.57;0.38;0.2;50;3040;38.5;48
766783.38;6284754.64;0.39;0.22;40;3120;31.9;56
766780.69;6284756.18;0.42;0.13;47;3360;36.2;50.4
766778.26;6284757.42;0.38;0.15;32;3040;26.2;62.4
766775.44;6284758.91;0.39;0.13;50;3120;37.8;48
766771.95;6284760.73;0.36;0.14;28;2880;23.7;65.6
766770.57;6284761.46;0.36;0.14;41;2880;31;55.2
766767.75;6284762.92;0.44;0.09;28;3520;24.5;65.6
766765.4;6284764.2;0.29;0.4;29;2320;27.8;64.8
766762.73;6284765.55;0.49;0.2;29;3920;26.9;64.8
766760.38;6284766.78;0.39;0.14;39;3120;30.4;56.8
766757.26;6284768.48;0.45;0.09;31;3600;26.2;63.2
766754.79;6284769.74;0.35;0.13;34;2800;26.6;60.8
766752.6;6284770.87;0.37;0.13;37;2960;28.7;58.4
766749.53;6284772.51;0.46;0.19;44;3680;35.7;52.8
766747.79;6284773.47;0.42;0.24;39;3360;32.1;56.8
766745.37;6284774.78;0.49;0.12;35;3920;29.5;60
766742.82;6284776.14;0.42;0.13;51;3360;39.2;47.2
766739.73;6284777.77;0.45;0.14;26;3600;24.1;67.2
766737.16;6284779.25;0.46;0.18;45;3680;36.3;52
766735.48;6284780.03;0.34;0.09;40;2720;29.5;56
766732.12;6284781.89;0.37;0.17;48;2960;36.4;49.6
766729.85;6284782.99;0.24;0.12;43;1920;29.8;53.6
766726.48;6284784.69;0.26;0.14;28;2080;22.2;65.6
766723.63;6284786.11;0.42;0.07;33;3360;26.6;61.6
766720.79;6284787.66;0.32;0.18;43;2560;32;53.6
766718.59;6284789;0.48;0.17;21;3840;22.3;71.2
766715.67;6284790.47;0.41;0.08;46;3280;34.6;51.2
766713.72;6284791.44;0.45;0.12;47;3600;36.7;50.4
766710.4;6284793.16;0.47;0.15;37;3760;30.7;58.4
766707.94;6284794.64;0.4;0.11;29;3200;24.5;64.8
766704.93;6284796.28;0.4;0.09;49;3200;36.7;48.8
766703.05;6284797.27;0.26;0.05;35;2080;24.9;60
766700.66;6284798.58;0.39;0.14;39;3120;30.4;56.8
766697.93;6284799.91;0.39;0.17;49;3120;37.6;48.8
766695.6;6284801.18;0.47;0.08;37;3760;29.9;58.4
766692.78;6284802.63;0.5;0.09;42;4000;33.9;54.4
766690.48;6284803.83;0.44;0.11;43;3520;33.6;53.6
766687.52;6284805.49;0.47;0.11;36;3760;29.6;59.2
766685.6;6284806.47;0.33;0.11;45;2640;32.7;52
766682.99;6284807.81;0.5;0.11;48;4000;38.5;49.6
766680.75;6284809.01;0.45;0.11;48;3600;37.3;49.6
766677.79;6284810.56;0.45;0.12;41;3600;32.6;55.2
766674.92;6284812.13;0.49;0.11;40;3920;32.6;56
766672.17;6284813.58;0.43;0.15;51;3440;39.8;47.2
766669.96;6284814.78;0.5;0.19;28;4000;26.4;65.6
766667.03;6284816.35;0.41;0.1;48;3280;36.3;49.6
766665.27;6284817.18;0.47;0.09;39;3760;31.3;56.8
766661.62;6284819.1;0.23;0.07;51;1840;30.2;47.2
766660.97;6284819.46;0.42;0.04;45;3360;33.6;52
766656.61;6284821.9;0.48;0.09;36;3840;29.6;59.2
766654.33;6284822.97;0.35;0.11;38;2800;28.7;57.6
766651.93;6284824.29;0.46;0.11;36;3680;29.5;59.2
766649.95;6284825.14;0.29;0.06;37;2320;23.4;58.4
766647.53;6284826.54;0.46;0.21;31;3680;27.6;63.2
766645.98;6284821.74;0.4;0.09;36;3200;28.2;59.2
766647.9;6284820.64;0.35;0.12;50;2800;36.7;48
766650.99;6284819;0.41;0.09;42;3280;32;54.4
766653.57;6284817.67;0.44;0.13;35;3520;28.7;60
766655.41;6284816.65;0.48;0.1;42;3840;33.6;54.4
766658.89;6284814.81;0.51;0.06;47;4080;37.2;50.4
766661.58;6284813.4;0.4;0.11;52;3200;39.2;46.4
766662.97;6284812.62;0.44;0.07;31;3520;25.8;63.2
766667.09;6284810.49;0.47;0.15;43;3760;34.7;53.6
766668.35;6284809.85;0.52;0.08;22;4160;14.5;86.4
766672.35;6284807.81;0.51;0.08;39;4080;31.9;56.8
766673.67;6284807.15;0.35;0.22;32;2800;26.4;62.4
766676.81;6284805.49;0.54;0.09;23;4320;23.5;69.6
766680.03;6284803.77;0.45;0.07;36;3600;28.8;59.2
766682.1;6284802.72;0.5;0.06;30;4000;26.2;64
766684.97;6284801.15;0.46;0.07;40;3680;31.5;56
766687.57;6284799.8;0.36;0.11;49;2880;36.1;48.8
766690.21;6284798.4;0.54;0.09;23;4320;23.5;69.6
766693.11;6284796.97;0.51;0.13;31;4080;27.6;63.2
766695.1;6284795.81;0.43;0.18;46;3440;36.4;51.2
766698.66;6284793.84;0.48;0.03;32;3840;26.6;62.4
766699.87;6284793.31;0.38;0.12;40;3040;30.6;56
766703.09;6284791.6;0.5;0.1;26;4000;24.5;67.2
766704.97;6284790.5;0.44;0.12;40;3520;31.7;56
766707.5;6284789.25;0.4;0.18;46;3200;35.7;51.2
766710.99;6284787.3;0.39;0.14;39;3120;30.4;56.8
