X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766307.08;6284627.68;0.1;0.1;24;800;20.3;45
766307.03;6284630.07;0.1;0.12;17;800;26.3;50.6
766306.88;6284633.37;0.12;0.1;19;960;23.7;54.6
766306.89;6284636.6;0.08;0.11;17;640;25.9;50.6
766306.79;6284638.12;0.06;0.12;20;480;20.6;58.6
766304.34;6284640.34;0.21;0.14;21;1680;21;47.4
766301.84;6284637.06;0.12;0.1;15;960;25.3;52.2
766301.92;6284633.77;0.11;0.13;27;880;21.4;58.6
766302.03;6284631.39;0.14;0.15;28;1120;22.5;57.8
766302.06;6284628.57;0.12;0.08;11;960;14.5;71.4
766302.12;6284625.06;0.14;0.08;28;1120;21.8;57.8
766302.23;6284622.48;0.14;0.15;7;1120;13.8;74.6
766302.25;6284619.95;0.14;0.12;30;1120;23.2;56.2
766302.33;6284616.78;0.1;0.11;12;800;14.9;70.6
766302.46;6284613.33;0.12;0.08;11;960;14.5;71.4
766302.53;6284610.49;0.17;0.12;13;1360;12.6;77.8
766302.56;6284607.69;0.13;0.07;18;1040;17.2;65.8
766302.67;6284604.18;0.13;0.08;15;1040;16.1;68.2
766302.7;6284601.98;0.12;0.07;24;960;19.6;61
766302.74;6284598.92;0.15;0.14;25;1200;21.1;60.2
766302.84;6284596.04;0.14;0.09;15;1120;16.3;68.2
766302.91;6284592.87;0.11;0.14;28;880;21.9;57.8
766303.01;6284590.19;0.14;0.14;29;1120;22.9;57
766303.06;6284587.09;0.12;0.11;22;960;19.1;62.6
766303.12;6284584.27;0.15;0.1;10;1200;14.6;72.2
766303.17;6284581.53;0.17;0.12;28;1360;22.6;57.8
766303.2;6284578.25;0.15;0.09;31;1200;23.6;55.4
766303.36;6284575.14;0.17;0.09;19;1360;18.3;65
766303.43;6284572.62;0.17;0.07;12;1360;15.4;70.6
766303.5;6284569.59;0.04;0.19;10;320;10.9;80.2
766303.54;6284566.07;0.16;0.08;33;1280;24.7;53.8
766303.64;6284563.22;0.11;0.15;29;880;22.5;57
766303.75;6284559.76;0.24;0.11;13;1920;16.8;69.8
766303.87;6284557.61;0.17;0.1;32;1360;24.5;54.6
766303.92;6284554.72;0.18;0.13;20;1440;19.1;64.2
766304.06;6284551.43;0.17;0.13;31;1360;24.3;55.4
766304.14;6284549.28;0.17;0.14;19;1360;18.7;65
766304.16;6284546.04;0.15;0.07;34;1200;25;53
766304.2;6284542.72;0.14;0.09;32;1120;23.9;54.6
766304.27;6284539.68;0.15;0.06;13;1200;12.1;77.8
766304.4;6284536.63;0.19;0.16;11;1520;15.8;71.4
766304.51;6284533.21;0.15;0.23;18;1200;18.7;65.8
766304.53;6284531.44;0.19;0.21;14;1520;17.4;69
766299.42;6284532.33;0.19;0.06;19;1520;18.3;65
766299.44;6284534.47;0.13;0.06;27;1040;21;58.6
766299.32;6284538.05;0.08;0.05;25;640;19.3;60.2
