X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766908.1;6284737.91;0.36;0.15;21;2880;20.4;56.2
766911.8;6284736.03;0.38;0.22;15;3040;21.2;61
766913.17;6284737.94;0.22;0.23;24;1760;20.5;53.8
766912.58;6284740.82;0.28;0.26;23;2240;21.1;54.6
766911.93;6284743.87;0.22;0.25;30;1760;23.2;49
766911.24;6284747.03;0.27;0.23;23;2160;20.7;54.6
766910.77;6284749.28;0.21;0.29;27;1680;22.1;51.4
766910.06;6284752.75;0.2;0.21;33;1600;24;46.6
766909.43;6284755.64;0.24;0.25;31;1920;24;48.2
766908.79;6284758.52;0.21;0.26;38;1680;27.1;42.6
766908.22;6284761.33;0.31;0.23;32;2480;25.3;47.4
766907.52;6284764.33;0.3;0.23;29;2400;23.7;49.8
766906.91;6284767.19;0.17;0.26;13;1360;16.1;62.6
766906.32;6284770.09;0.4;0.29;28;3200;17;66.6
766905.67;6284773.23;0.25;0.3;37;2000;27.6;43.4
766905.2;6284775.77;0.37;0.25;42;2960;32;39.4
766904.55;6284778.79;0.4;0.19;35;3200;27.9;45
766904.01;6284781.36;0.3;0.24;43;2400;31.2;38.6
766903.42;6284784.41;0.22;0.19;47;1760;31.6;35.4
766902.88;6284786.98;0.15;0.28;16;1200;17.1;60.2
766902.19;6284790.23;0.2;0.18;41;1600;27.7;40.2
766901.59;6284793.25;0.22;0.21;45;1760;30.7;37
766901.09;6284795.65;0.34;0.28;44;2720;33.1;37.8
766900.32;6284798.83;0.32;0.28;42;2560;31.5;39.4
766899.76;6284801.74;0.14;0.48;22;1120;20.6;55.4
766898.9;6284805.48;0.31;0.24;35;2480;26.9;45
766898.33;6284807.99;0.33;0.18;31;2640;24.7;48.2
766897.76;6284810.62;0.24;0.31;30;1920;24;49
766897.24;6284813.44;0.3;0.22;35;2400;26.6;45
766896.6;6284816.27;0.29;0.19;39;2320;28.2;41.8
766895.94;6284819.3;0.3;0.18;36;2400;26.7;44.2
766895.4;6284821.72;0.26;0.18;30;2080;23.2;49
766897.38;6284825.24;0.32;0.21;29;2560;23.8;49.8
766900.35;6284823.69;0.32;0.19;33;2560;25.6;46.6
766900.96;6284820.7;0.18;0.16;29;1440;21.5;49.8
766901.55;6284817.84;0.31;0.14;26;2480;21.8;52.2
766902.18;6284815.05;0.25;0.17;25;2000;20.8;53
766902.87;6284812.12;0.21;0.16;17;1680;17.3;59.4
766903.49;6284809.28;0.25;0.14;29;2000;22.3;49.8
766904.16;6284806.32;0.23;0.14;27;1840;21.2;51.4
766904.82;6284803.34;0.25;0.15;41;2000;28.3;40.2
766905.48;6284799.95;0.28;0.14;50;2240;34.1;33
766906.03;6284797.24;0.2;0.15;48;1600;31.4;34.6
766906.62;6284794.18;0.3;0.21;37;2400;27.5;43.4
766907.16;6284791.41;0.26;0.2;23;2080;20.4;54.6
766907.81;6284788.34;0.15;0.23;20;1200;18.1;57
766908.35;6284785.49;0.27;0.19;29;2160;23;49.8
766908.91;6284782.51;0.23;0.22;28;1840;22.2;50.6
766909.56;6284779.48;0.29;0.2;29;2320;23.3;49.8
766910.11;6284776.53;0.34;0.21;28;2720;23.6;50.6
766910.75;6284773.85;0.21;0.24;36;1680;25.9;44.2
766911.37;6284771.03;0.27;0.19;31;2160;23.9;48.2
766912.12;6284767.31;0.02;0.18;23;160;10.4;74.6
766912.67;6284764.74;0.28;0.22;30;2240;23.8;49
766913.44;6284761.05;0.48;0.05;7;3840;18;67.4
766914.01;6284758.28;0.11;0.23;29;880;21.2;49.8
766914.5;6284755.94;0.25;0.26;44;2000;31.2;37.8
766915.08;6284753.24;0.08;0.32;29;640;10.5;77.8
766915.73;6284750.51;0.27;0.21;36;2160;26.5;44.2
766916.54;6284746.77;0.31;0.39;36;2480;29;44.2
766917.04;6284744.13;0.23;0.29;33;1840;25.2;46.6
766917.66;6284741.07;0.22;0.27;45;1760;31.3;37
766918.22;6284738.34;0.23;0.24;39;1840;27.8;41.8
766918.84;6284735.29;0.26;0.18;40;2080;28.2;41
766919.48;6284732.84;0.31;0.16;59;2480;31.4;25.8
766924.02;6284733.86;0.27;0.13;36;2160;25.7;44.2
766923.59;6284735.96;0.25;0.14;29;2000;22.3;49.8
766923;6284739.14;0.24;0.25;28;1920;22.6;50.6
766922.4;6284742.4;0.2;0.25;53;1600;35.8;30.6
766921.97;6284744.88;0.18;0.41;44;1440;31.6;37.8
