X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766906.62;6284794.18;0.3;0.21;37;2400;36.4
766907.16;6284791.41;0.26;0.2;23;2080;30
766907.81;6284788.34;0.15;0.23;20;1200;27.5
766908.35;6284785.49;0.27;0.19;29;2160;31.9
766908.91;6284782.51;0.23;0.22;28;1840;31.1
766909.56;6284779.48;0.29;0.2;29;2320;32.3
766910.11;6284776.53;0.34;0.21;28;2720;32.9
766910.75;6284773.85;0.21;0.24;36;1680;33.4
766911.37;6284771.03;0.27;0.19;31;2160;32.5
766912.12;6284767.31;0.02;0.18;23;160;19.9
766912.67;6284764.74;0.28;0.22;30;2240;32.6
766913.44;6284761.05;0.48;0.05;7;3840;33
766914.01;6284758.28;0.11;0.23;29;880;29.4
766914.5;6284755.94;0.25;0.26;44;2000;41
766915.08;6284753.24;0.08;0.32;29;640;20.4
766915.73;6284750.51;0.27;0.21;36;2160;34.6
766916.54;6284746.77;0.31;0.39;36;2480;37
766917.04;6284744.13;0.23;0.29;33;1840;33.1
766917.66;6284741.07;0.22;0.27;45;1760;40.9
766918.22;6284738.34;0.23;0.24;39;1840;35.9
766918.84;6284735.29;0.26;0.18;40;2080;37.4
766919.48;6284732.84;0.31;0.16;59;2480;48.7
766924.02;6284733.86;0.27;0.13;36;2160;34.2
766923.59;6284735.96;0.25;0.14;29;2000;31.3
766923;6284739.14;0.24;0.25;28;1920;31.4
766922.4;6284742.4;0.2;0.25;53;1600;47.8
766921.97;6284744.88;0.18;0.41;44;1440;39.5
766921.28;6284747.94;0.22;0.18;42;1760;37.7
766920.54;6284751.2;0.24;0.19;49;1920;44.9
766919.99;6284753.79;0.18;0.25;31;1440;31.3
766919.35;6284756.67;0.21;0.22;37;1680;33.6
766918.81;6284759.34;0.1;0.34;29;800;24.4
766918.15;6284762.7;0.22;0.21;38;1760;34.6
766917.61;6284765.39;0.25;0.2;37;2000;34.7
766916.84;6284768.88;0.18;0.43;31;1440;32.4
766916.26;6284771.51;0.22;0.23;31;1760;31.9
766915.63;6284774.55;0.3;0.17;27;2400;31.7
766915.12;6284777.11;0.27;0.22;30;2160;32.4
766914.55;6284779.73;0.3;0.18;29;2400;32.4
766913.98;6284782.64;0.3;0.21;30;2400;32.9
766913.34;6284785.71;0.31;0.19;30;2480;32.9
766912.73;6284788.51;0.32;0.21;26;2560;32
766912.13;6284791.31;0.27;0.17;31;2160;32.4
766911.61;6284794.08;0.26;0.16;25;2080;30.3
766911.1;6284796.99;0.21;0.2;35;1680;32.8
766910.39;6284799.9;0.19;0.19;38;1520;33.5
766909.65;6284802.92;0.23;0.21;37;1840;34.1
766909.09;6284805.51;0.29;0.15;37;2320;35.7
766908.48;6284808.57;0.1;0.31;10;800;24.5
766907.8;6284811.63;0.32;0.17;24;2560;31.1
766907.21;6284814.44;0.28;0.2;38;2240;36.5
766906.61;6284817.41;0.27;0.21;35;2160;33.9
766905.99;6284820.5;0.26;0.2;43;2080;40.1
766905.41;6284823.42;0.25;0.25;33;2000;33.2
