X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766770.25;6284761.82;1.17;0.58;82;9360;94.6;20.6
766767.48;6284763.25;1.44;0.3;77;11520;108.9;24.6
766765;6284764.54;1.21;0.23;74;9680;80.4;27
766762.6;6284765.81;1.31;0.32;81;10480;100.4;21.4
766760.29;6284767.08;1.25;0.43;75;10000;90.2;26.2
766757.53;6284768.56;1.36;0.36;75;10880;99.2;26.2
766755.03;6284769.87;1.1;0.41;73;8800;74.5;27.8
766752.27;6284771.29;1.25;0.36;71;10000;83.9;29.4
766749.99;6284772.59;1.32;0.59;77;10560;104.5;24.6
766747.55;6284773.93;1.03;0.46;77;8240;74;24.6
766744.97;6284775.29;1.18;0.41;83;9440;92.1;19.8
766742.37;6284776.58;1.47;0.58;59;11760;97;39
766739.77;6284778.02;1.28;0.38;79;10240;96.5;23
766737.41;6284779.38;1.09;0.41;72;8720;72.8;28.6
766735.14;6284780.5;1.06;0.33;76;8480;72.4;25.4
766732.49;6284781.91;1.14;0.47;80;9120;86.5;22.2
766729.78;6284783.25;1.35;0.56;70;10800;97.6;30.2
766727.29;6284784.52;1.29;0.44;58;10320;75.9;39.8
766725.08;6284785.66;1.17;0.54;63;9360;73.3;35.8
766721.63;6284787.47;1.29;0.54;78;10320;100.9;23.8
766719.58;6284788.58;1.13;0.27;71;9040;71.9;29.4
766716.63;6284790.12;1.13;0.35;76;9040;78.5;25.4
766713.95;6284791.56;1.2;0.33;68;9600;75.9;31.8
766711.84;6284792.69;1.1;0.26;63;8800;62.7;35.8
766709.08;6284794.25;1.09;0.28;71;8720;69.1;29.4
766706.41;6284795.69;1.11;0.57;62;8880;68.6;36.6
766704.02;6284797.02;1.11;0.33;68;8880;69;31.8
766701.63;6284798.27;1.29;0.33;80;10320;97.3;22.2
766698.66;6284799.76;1.14;0.3;83;9120;85.5;19.8
766696.09;6284801.14;1.04;0.45;61;8320;60.6;37.4
766693.62;6284802.42;1.47;0.35;72;11760;106.9;28.6
766690.86;6284803.84;1.3;0.29;75;10400;91.2;26.2
766688.19;6284805.31;1.12;0.34;77;8960;78.5;24.6
766685.85;6284806.5;1.14;0.29;75;9120;76.9;26.2
766683.19;6284807.94;1.34;0.38;79;10720;102.9;23
766680.95;6284809.09;1.21;0.32;82;9680;91.4;20.6
766678.06;6284810.59;1.29;0.42;80;10320;99.9;22.2
766675.52;6284811.97;1.2;0.41;74;9600;83.9;27
766672.95;6284813.36;1.08;0.46;85;8640;87.9;18.2
766670.34;6284814.74;1.07;0.49;67;8560;68.4;32.6
766667.59;6284816.19;1.29;0.32;79;10320;95.9;23
766665.11;6284817.37;1.06;0.37;77;8480;74.2;24.6
766663.42;6284818.21;1.1;0.27;64;8800;63.7;35
766659.7;6284820.23;0.96;0.43;46;7680;45.7;49.4
766657.41;6284821.52;1.02;0.4;74;8160;69.1;27
766654.94;6284822.8;1.02;0.53;73;8160;70.9;27.8
766652.12;6284824.26;1.13;0.47;79;9040;84.5;23
766650.27;6284825.05;0.8;0.44;34;6400;34.1;59
766647.05;6284823.97;1.07;0.48;70;8560;70.9;30.2
766647.58;6284820.79;1.33;0.43;75;10640;98.1;26.2
766650.83;6284819.09;1.19;0.33;75;9520;82.2;26.2
766652.42;6284818.32;1.3;0.35;75;10400;92.9;26.2
766655;6284816.93;1.15;0.31;72;9200;75.3;28.6
766657.63;6284815.53;1.42;0.28;86;11360;119;17.4
766660.44;6284814.08;1.05;0.28;68;8400;63.8;31.8
766662.36;6284813.05;1.17;0.34;78;9360;83.8;23.8
766665.6;6284811.3;1.12;0.77;74;8960;86;27
766667.48;6284810.31;1.27;0.37;80;10160;96.5;22.2
766670.07;6284808.97;1.02;1.27;13;8160;49.8;75.8
766672.84;6284807.52;1.31;0.37;79;10480;99.4;23
766675.49;6284806.2;1.1;0.73;62;8800;72.1;36.6
766677.09;6284805.34;1.14;1.07;42;9120;70.5;52.6
766679.95;6284803.74;1.24;0.43;72;9920;85.9;28.6
766682.45;6284802.51;1.04;0.25;60;8320;56.4;38.2
766684.89;6284801.25;1.27;0.28;68;10160;80.5;31.8
766687.42;6284799.92;1.13;0.34;77;9040;79.3;24.6
766689.81;6284798.63;1.23;0.26;67;9840;75.8;32.6
766692.61;6284797.22;1.23;0.45;74;9840;87.6;27
766694.72;6284796.01;1.04;0.32;75;8320;69.9;26.2
766697.77;6284794.39;1.09;0.26;28;8720;39.6;63.8
766700.16;6284793.17;1.06;0.49;74;8480;74.1;27
