X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766302.5;6284586.46;1.21;0.46;86;9680;90.6;16.8
766302.62;6284583.45;1.2;0.45;86;9600;89.4;16.8
766302.68;6284580.78;1.17;0.54;88;9360;91.2;15.2
766302.76;6284577.68;1.07;0.73;87;8560;86;16
766302.87;6284575.13;1.09;0.55;93;8720;91.2;11.2
766302.9;6284572.42;1.11;0.49;90;8880;86.5;13.6
766302.99;6284569.48;0.94;0.46;64;7520;51.3;34.4
766303;6284566.31;1.1;0.57;92;8800;90.6;12
766303.08;6284563.82;1.3;0.44;87;10400;100.4;16
766303.14;6284560.69;1.28;0.41;84;10240;93.8;18.4
766303.26;6284558;1.14;0.52;93;9120;93.6;11.2
766303.36;6284555.27;1.11;0.59;89;8880;88;14.4
766303.42;6284552.18;1.24;0.59;90;9920;102.3;13.6
766303.46;6284549.74;1.13;0.69;88;9040;91.4;15.2
766303.56;6284546.65;1.12;0.65;81;8960;81.7;20.8
766303.65;6284543.49;1.05;0.58;87;8400;80.8;16
766303.74;6284541.15;1.13;0.48;77;9040;74.6;24
766303.8;6284538.3;1.23;0.49;81;9840;87.5;20.8
766303.84;6284535.9;1.2;0.4;82;9600;83.7;20
766303.92;6284532.54;1.16;0.52;89;9280;90.9;14.4
766302.37;6284530.97;1.24;0.5;68;9920;75.1;31.2
766299.07;6284532.79;1.05;0.49;93;8400;87.4;11.2
766299.1;6284535.08;1.06;0.37;86;8480;75.2;16.8
766299;6284538.47;1.05;0.55;77;8400;70;24
766298.9;6284541.07;1.1;0.49;87;8800;82.4;16
766298.82;6284543.91;1.09;0.62;95;8720;96.8;9.6
766298.72;6284546.59;1.14;0.61;94;9120;97.5;10.4
766298.66;6284549.66;1.12;0.49;81;8960;77.9;20.8
766298.63;6284552.09;1.09;0.44;90;8720;83.5;13.6
766298.54;6284555.51;1.07;0.63;87;8560;83.2;16
766298.47;6284558.08;1.04;0.68;93;8320;92.7;11.2
766298.41;6284561.02;1.17;0.66;94;9360;102;10.4
766298.34;6284563.81;1.06;0.44;94;8480;87.9;10.4
766298.27;6284566.89;1.17;0.47;93;9360;95.3;11.2
766298.25;6284569.61;1.24;0.67;95;9920;111.6;9.6
766298.19;6284572.49;1.07;0.58;95;8560;94.5;9.6
766298.15;6284575.32;1.09;0.42;95;8720;90.4;9.6
766298.09;6284578.12;1.25;0.5;92;10000;103.2;12
766298;6284580.96;1.1;0.44;83;8800;77.1;19.2
766297.91;6284583.41;0.98;0.32;88;7840;72.5;15.2
766297.76;6284587.09;1.05;0.42;88;8400;78;15.2
766297.73;6284589.46;1.06;0.7;84;8480;80.8;18.4
766297.66;6284592.58;1.08;0.54;83;8640;77.8;19.2
766297.59;6284595.32;1.11;0.43;89;8880;83.9;14.4
766297.52;6284598.08;1.08;0.48;92;8640;86.9;12
766297.45;6284601.02;1.09;0.53;93;8720;90.5;11.2
766297.37;6284603.58;1.11;0.41;92;8880;86.7;12
766297.28;6284606.55;1.16;0.58;86;9280;89;16.8
766297.19;6284608.7;1.1;0.59;78;8800;75.6;23.2
766297.1;6284611.89;1.13;0.6;88;9040;89;15.2
766297.03;6284614.98;1.11;0.53;95;8880;94.9;9.6
766296.99;6284617.87;1.07;0.54;94;8560;91.5;10.4
766296.87;6284620.58;1.01;0.54;95;8080;90.1;9.6
766296.79;6284622.74;1.05;0.49;76;8400;67.9;24.8
766296.75;6284626.52;1.11;0.61;75;8880;74;25.6
766296.78;6284629.33;0.93;0.21;47;7440;37.9;48
766296.69;6284631.88;1.13;0.44;91;9040;88.2;12.8
766296.64;6284634.2;1.13;0.63;89;9040;90.9;14.4
766296.59;6284636.42;1.17;0.61;91;9360;96.8;12.8
766322.96;6284656.8;0.51;0.19;6;4080;15.2;80.8
766323.74;6284651.32;0.81;0.46;48;6480;37.2;47.2
766323.7;6284649.48;1.34;0.61;88;10720;111.6;15.2
766323.83;6284646.76;1.39;0.48;94;11120;122.2;10.4
766324.05;6284644;1.4;0.54;90;11200;119.5;13.6
766324.04;6284640.9;1.4;0.48;91;11200;119;12.8
766324.05;6284638.37;1.17;0.72;86;9360;93.8;16.8
766324.12;6284635.02;1.6;0.59;80;12800;132;21.6
766324.19;6284632.44;1.33;0.61;92;10640;116.2;12
766324.15;6284629.68;1.22;0.69;92;9760;105.8;12
766324.14;6284626.91;1.06;0.54;88;8480;81.7;15.2
