X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766688.19;6284805.31;1.12;0.34;77;8960;191.7
766685.85;6284806.5;1.14;0.29;75;9120;186.9
766683.19;6284807.94;1.34;0.38;79;10720;238
766680.95;6284809.09;1.21;0.32;82;9680;223.6
766678.06;6284810.59;1.29;0.42;80;10320;234.2
766675.52;6284811.97;1.2;0.41;74;9600;196.2
766672.95;6284813.36;1.08;0.46;85;8640;218.6
766670.34;6284814.74;1.07;0.49;67;8560;159.3
766667.59;6284816.19;1.29;0.32;79;10320;226.1
766665.11;6284817.37;1.06;0.37;77;8480;184
766663.42;6284818.21;1.1;0.27;64;8800;149.2
766659.7;6284820.23;0.96;0.43;46;7680;100.4
766657.41;6284821.52;1.02;0.4;74;8160;170.3
766654.94;6284822.8;1.02;0.53;73;8160;171.2
766652.12;6284824.26;1.13;0.47;79;9040;205
766650.27;6284825.05;0.8;0.44;34;6400;72.2
766647.05;6284823.97;1.07;0.48;70;8560;167.4
766647.58;6284820.79;1.33;0.43;75;10640;221.9
766650.83;6284819.09;1.19;0.33;75;9520;195.5
766652.42;6284818.32;1.3;0.35;75;10400;213.9
766655;6284816.93;1.15;0.31;72;9200;179.5
766657.63;6284815.53;1.42;0.28;86;11360;280.8
766660.44;6284814.08;1.05;0.28;68;8400;153.9
766662.36;6284813.05;1.17;0.34;78;9360;202.9
766665.6;6284811.3;1.12;0.77;74;8960;196.2
766667.48;6284810.31;1.27;0.37;80;10160;228.8
766670.07;6284808.97;1.02;1.27;13;8160;79.8
766672.84;6284807.52;1.31;0.37;79;10480;231.4
766675.49;6284806.2;1.1;0.73;62;8800;155.9
766677.09;6284805.34;1.14;1.07;42;9120;120.4
766679.95;6284803.74;1.24;0.43;72;9920;196.2
766682.45;6284802.51;1.04;0.25;60;8320;132.3
766684.89;6284801.25;1.27;0.28;68;10160;182.9
766687.42;6284799.92;1.13;0.34;77;9040;193.6
766689.81;6284798.63;1.23;0.26;67;9840;173.8
766692.61;6284797.22;1.23;0.45;74;9840;202.2
766694.72;6284796.01;1.04;0.32;75;8320;173.8
766697.77;6284794.39;1.09;0.26;28;8720;79.1
766700.16;6284793.17;1.06;0.49;74;8480;178.5
766702.58;6284791.84;1.22;0.23;76;9760;200.2
766704.87;6284790.55;1.06;0.48;73;8480;175.3
766707.03;6284789.47;1.31;0.36;74;10480;212.4
766709.91;6284787.9;0.95;0.41;73;7600;158.8
766712.24;6284786.66;0.95;0.35;69;7600;146.7
766714.68;6284785.43;0.88;0.28;71;7040;142.1
766717.06;6284784.17;1.13;0.27;72;9040;175.3
766720.13;6284782.51;1.11;0.43;68;8880;165.5
766722.27;6284781.41;1.44;0.47;78;11520;256.5
766724.89;6284780.06;1.19;0.4;78;9520;208.6
766727.51;6284778.65;1.11;0.44;58;8880;139.4
766730.73;6284776.94;1.11;0.42;69;8880;168.3
766732.71;6284775.96;1.12;0.55;70;8960;176.3
766735.19;6284774.56;1.16;0.3;67;9280;165.5
766738;6284773.08;1.16;0.25;74;9280;185.2
766740.34;6284771.95;1.55;0.34;77;12400;268.1
766742.85;6284770.57;1.51;0.33;73;12080;242.8
766744.93;6284769.54;1.1;0.48;61;8800;146.7
766748.21;6284767.72;1.16;0.38;77;9280;199.5
766750.76;6284766.29;1.41;0.35;83;11280;268.1
766753.38;6284764.85;1.24;0.34;72;9920;193.6
766755.88;6284763.53;1.11;0.39;63;8880;150.8
766758.5;6284762.09;1.19;0.36;69;9520;177.4
766760.88;6284760.83;1.26;0.38;78;10080;219.4
766763.45;6284759.47;1.14;0.55;77;9120;202.2
766765.98;6284758.21;1.21;0.4;78;9680;211.6
766768.42;6284756.84;1.16;0.32;71;9280;177.9
766771.14;6284755.48;1.36;0.39;82;10880;254.3
766773.64;6284754.11;1.14;0.38;69;9120;170.7
