X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766910.28;6284786.05;0.61;0.3;67;4880;40.2
766909.69;6284788.94;0.57;0.37;66;4560;39.5
766909.21;6284791.65;0.58;0.31;65;4640;38.3
766908.64;6284794.6;0.56;0.25;63;4480;35.8
766907.99;6284797.6;0.6;0.42;61;4800;37.4
766907.48;6284800.06;0.57;0.31;72;4560;43.2
766906.8;6284802.89;0.58;0.42;61;4640;37
766906.15;6284805.76;0.59;0.36;66;4720;39.8
766905.58;6284808.57;0.63;0.35;56;5040;33.9
766904.97;6284811.5;0.64;0.31;56;5120;33.6
766904.34;6284814.28;0.66;0.29;55;5280;33.1
766903.74;6284817.13;0.67;0.25;53;5360;31.7
766903.13;6284819.99;0.61;0.26;66;4880;38.9
766902.45;6284822.93;0.55;0.34;58;4400;33.5
766894.91;6284773.04;0.65;0.56;67;5200;44.9
766894.37;6284775.93;0.6;0.39;61;4800;37
766893.76;6284778.74;0.64;0.29;55;5120;32.8
766893.24;6284781.54;0.64;0.29;60;5120;35.9
766892.7;6284784.41;0.61;0.3;59;4880;34.8
766892.04;6284787.27;0.59;0.27;63;4720;36.6
766891.47;6284790.01;0.59;0.3;59;4720;34.4
766890.7;6284793.32;0.71;0.3;48;5680;30.1
766890.12;6284796.15;0.72;0.28;54;5760;33.5
766889.51;6284799.1;0.54;0.36;48;4320;28
766888.89;6284801.83;0.7;0.24;52;5600;31.5
766888.16;6284804.96;0.61;0.26;50;4880;29.2
766887.58;6284807.67;0.63;0.21;59;5040;34.1
766887.01;6284810.81;0.69;0.27;52;5520;31.7
766886.4;6284813.94;0.66;0.29;50;5280;30.3
766885.74;6284816.83;0.68;0.42;62;5440;39.7
766885.25;6284819.56;0.66;0.26;65;5280;39.3
766884.77;6284821.86;0.68;0.44;65;5440;42.2
766889.76;6284822.49;0.63;0.32;68;5040;41.6
766890.07;6284820.98;0.57;0.33;49;4560;28.7
766891.05;6284816.99;0.6;0.34;62;4800;37
766891.64;6284814.16;0.6;0.26;57;4800;32.9
766892.3;6284811.07;0.61;0.24;59;4880;34.1
766892.89;6284808.16;0.66;0.25;60;5280;35.8
766893.43;6284805.24;0.58;0.31;60;4640;35
766894.09;6284802.3;0.6;0.22;55;4800;31.3
766894.72;6284799.26;0.6;0.31;54;4800;31.7
766895.38;6284796.43;0.68;0.27;53;5440;32.1
766895.99;6284793.31;0.61;0.26;58;4880;33.7
766896.56;6284790.44;0.6;0.32;63;4800;37.4
766897.21;6284787.64;0.58;0.32;64;4640;37.7
766897.82;6284784.6;0.59;0.34;63;4720;37.5
766898.43;6284781.84;0.64;0.39;62;5120;38.5
766899.09;6284778.89;0.62;0.33;68;4960;41.6
766899.66;6284776.07;0.62;0.37;71;4960;44.5
766900.31;6284773.21;0.66;0.3;71;5280;44.4
766900.84;6284770.41;0.6;0.41;65;4800;40
766901.34;6284767.9;0.65;0.39;65;5200;40.8
766902;6284764.7;0.64;0.39;66;5120;41.4
766902.6;6284761.92;0.72;0.3;70;5760;45
766903.19;6284758.83;0.7;0.39;70;5600;45.9
766903.66;6284756.49;0.73;0.56;48;5840;33.3
766904.38;6284753.28;0.7;0.5;57;5600;37.7
766904.97;6284750.42;0.62;0.38;63;4960;38.6
766905.67;6284747.35;0.66;0.32;64;5280;39.4
766906.44;6284743.46;0.82;0.65;50;6560;37.4
766906.84;6284741.62;0.57;0.36;67;4560;40.1
766907.49;6284738.73;0.73;0.5;60;5840;40.5
766907.9;6284736.75;0.7;0.23;67;5600;41.2
766912.95;6284736.95;0.57;0.49;65;4560;40.5
766912.37;6284739.58;0.61;0.3;65;4880;38.8
766911.67;6284742.58;0.62;0.31;64;4960;38.4
766911.12;6284745.14;0.64;0.38;60;5120;37
766910.52;6284748.04;0.68;0.31;58;5440;35.6
766909.83;6284751.42;0.68;0.28;61;5440;37.2
766909.27;6284754.03;0.66;0.48;59;5280;38
766908.7;6284756.79;0.67;0.38;56;5360;35
766908.07;6284759.75;0.68;0.47;65;5440;42.7
766907.56;6284762.29;0.7;0.39;63;5600;40.5
766907.02;6284764.54;0.74;0.41;59;5920;38.8
766906.3;6284768.21;0.15;0.07;56;1200;23.7
766905.53;6284771.89;0.79;0.3;56;6320;36.3
766905.18;6284773.77;0.65;0.46;66;5200;42.6
766904.67;6284776.55;0.6;0.4;71;4800;44.5
766904.03;6284779.47;0.61;0.37;71;4880;44.2
766903.41;6284782.34;0.61;0.34;73;4880;45.4
766902.84;6284785.06;0.57;0.41;77;4560;48.9
766902.3;6284787.99;0.65;0.38;70;5200;44.6
766901.68;6284790.9;0.59;0.31;73;4720;44.5
766901.01;6284793.79;0.53;0.33;74;4240;44.1
766900.34;6284796.83;0.56;0.35;52;4480;30.3
766899.87;6284799.31;0.65;0.3;54;5200;32.5
766899.3;6284802.03;0.75;0.29;50;6000;31.8
766898.42;6284805.89;0.68;0.3;49;5440;30.2
766897.82;6284808.34;0.66;0.24;53;5280;31.4
766897.12;6284811.9;0.64;0.31;53;5120;31.8
766896.64;6284814.31;0.63;0.27;56;5040;33
766895.98;6284817.16;0.63;0.28;62;5040;36.9
766895.37;6284820.17;0.62;0.37;61;4960;37.1
766894.86;6284822.27;0.65;0.24;58;5200;34.2
766896.6;6284825.14;0.37;0.37;65;2960;34.8
766899.92;6284823.49;0.63;0.17;60;5040;34.2
766900.54;6284820.6;0.61;0.23;55;4880;31.6
766901.21;6284817.51;0.6;0.22;59;4800;33.7
766901.86;6284814.6;0.6;0.32;53;4800;31.3
766902.54;6284811.67;0.61;0.23;64;4880;37.2
766903.16;6284808.87;0.66;0.25;57;5280;33.9
766903.77;6284806.02;0.6;0.32;67;4800;40.2
766904.32;6284802.98;0.6;0.26;66;4800;38.7
766905.04;6284799.57;0.63;0.26;69;5040;41.5
766905.68;6284796.91;0.6;0.28;71;4800;42.7
766906.33;6284793.72;0.7;0.21;62;5600;37.4
766906.83;6284791.04;0.66;0.32;59;5280;36
766907.43;6284788.1;0.59;0.37;64;4720;38.6
766908.02;6284785.02;0.58;0.37;63;4640;37.7
766908.59;6284782.06;0.6;0.42;62;4800;38
766909.2;6284779.38;0.62;0.46;67;4960;42.7
766909.68;6284776.6;0.69;0.45;55;5520;35.6
766910.35;6284773.53;0.6;0.35;64;4800;38.5
766910.94;6284770.85;0.68;0.27;65;5440;39.9
766911.51;6284767.78;0.09;0.08;59;720;24.3
766912.3;6284764.41;0.7;0.32;55;5600;34.2
766913;6284761.24;0.93;0.06;20;7440;18.9
766913.71;6284757.69;0.71;0.17;32;5680;21.6
766914.05;6284756.01;0.66;0.3;60;5280;36.4
766914.61;6284753.3;0.64;0.32;58;5120;35
766915.29;6284750.39;0.77;0.35;49;6160;32.2
766916.1;6284746.78;0.69;0.38;56;5520;35.4
766916.65;6284744.33;0.7;0.37;48;5600;30.7
766917.33;6284741.04;0.63;0.41;61;5040;37.8
766917.87;6284738.37;0.63;0.45;56;5040;35.1
766920.33;6284735.33;0.61;0.41;77;4880;50
766923.58;6284734.99;0.64;0.25;70;5120;42.4
766922.89;6284738.26;0.68;0.24;71;5440;44
766922.34;6284740.81;0.68;0.39;75;5440;49.7
766921.76;6284743.61;0.64;0.25;79;5120;49.9
766921.11;6284746.64;0.71;0.22;76;5680;48.6
766920.39;6284749.77;0.69;0.36;64;5520;40.6
766919.79;6284752.46;0.63;0.39;77;5040;50.2
766919.2;6284755.28;0.65;0.26;66;5200;39.8
766918.62;6284758.08;0.62;0.28;65;4960;38.7
766918.08;6284760.89;0.71;0.41;66;5680;43.3
766917.48;6284763.88;0.67;0.54;67;5360;45.1
766916.92;6284766.5;0.66;0.34;64;5280;39.7
766916.28;6284769.61;0.66;0.3;61;5280;37.1
766915.75;6284772.15;0.65;0.4;68;5200;43.3
766915.08;6284775.41;0.65;0.23;68;5200;40.8
766914.53;6284778.09;0.64;0.26;63;5120;37.5
766914.04;6284780.86;0.64;0.41;67;5120;42.4
766913.39;6284783.8;0.61;0.3;71;4880;43.2
766912.72;6284786.57;0.65;0.25;65;5200;38.9
766912.14;6284789.44;0.6;0.37;65;4800;39.5
766911.62;6284792.35;0.57;0.26;66;4560;38.1
766911.07;6284795.21;0.59;0.22;63;4720;36
766910.47;6284797.95;0.58;0.28;68;4640;40
766909.93;6284800.6;0.6;0.29;68;4800;40.6
766909.27;6284803.31;0.59;0.38;68;4720;41.6
766908.61;6284806.2;0.57;0.34;73;4560;44.4
766908;6284809.25;0.61;0.24;69;4880;40.8
766907.4;6284812.11;0.68;0.26;54;5440;32.6
766906.73;6284815.01;0.66;0.23;54;5280;31.9
766906.15;6284817.84;0.66;0.27;58;5280;34.7
766905.54;6284820.68;0.64;0.41;57;5120;35.4
766904.89;6284823.48;0.58;0.37;61;4640;36.3
