X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766303.06;6284587.09;0.12;0.11;22;960;26.5
766303.12;6284584.27;0.15;0.1;10;1200;20.9
766303.17;6284581.53;0.17;0.12;28;1360;31
766303.2;6284578.25;0.15;0.09;31;1200;32.2
766303.36;6284575.14;0.17;0.09;19;1360;25.5
766303.43;6284572.62;0.17;0.07;12;1360;21.8
766303.5;6284569.59;0.04;0.19;10;320;16.2
766303.54;6284566.07;0.16;0.08;33;1280;33.6
766303.64;6284563.22;0.11;0.15;29;880;30.9
766303.75;6284559.76;0.24;0.11;13;1920;23.7
766303.87;6284557.61;0.17;0.1;32;1360;33.4
766303.92;6284554.72;0.18;0.13;20;1440;26.6
766304.06;6284551.43;0.17;0.13;31;1360;33.1
766304.14;6284549.28;0.17;0.14;19;1360;26
766304.16;6284546.04;0.15;0.07;34;1200;34
766304.2;6284542.72;0.14;0.09;32;1120;32.7
766304.27;6284539.68;0.15;0.06;13;1200;17.6
766304.4;6284536.63;0.19;0.16;11;1520;22.4
766304.51;6284533.21;0.15;0.23;18;1200;26
766304.53;6284531.44;0.19;0.21;14;1520;24.4
766299.42;6284532.33;0.19;0.06;19;1520;25.5
766299.44;6284534.47;0.13;0.06;27;1040;29
766299.32;6284538.05;0.08;0.05;25;640;26.8
766299.17;6284540.64;0.12;0.09;28;960;29.7
766299.19;6284543.08;0.12;0.1;20;960;38
766299.1;6284546.33;0.16;0.07;17;1280;36.3
766298.96;6284548.98;0.12;0.06;17;960;23.4
766298.87;6284552.11;0.15;0.08;31;1200;32.1
766298.75;6284555.55;0.1;0.11;34;800;33.4
766298.7;6284557.8;0.11;0.07;20;880;37.4
766298.61;6284560.65;0.13;0.07;26;1040;32.6
766298.54;6284563.89;0.13;0.09;32;1040;32.5
766298.56;6284567.22;0.12;0.16;25;960;28.7
766298.55;6284569.32;0.12;0.16;15;960;35.2
766298.49;6284572.3;0.13;0.14;19;1040;38.1
766298.39;6284575.16;0.13;0.1;17;1040;36.1
766298.33;6284578.29;0.1;0.11;18;800;36.3
766298.28;6284580.67;0.1;0.1;20;800;25
766298.2;6284583.81;0.12;0.15;25;960;28.6
766298.02;6284587.44;0.12;0.11;15;960;34.6
766297.96;6284589.75;0.1;0.14;22;800;32.5
766297.92;6284592.97;0.11;0.13;28;880;39.8
766297.84;6284595.57;0.11;0.14;20;880;35
766297.8;6284598.7;0.12;0.11;30;960;38.2
766297.71;6284601.73;0.14;0.08;30;1120;31.2
766297.6;6284604.38;0.08;0.09;33;640;32.1
766297.47;6284607.53;0.12;0.11;20;960;25.4
766297.47;6284609.98;0.11;0.27;18;880;25.8
766297.34;6284613.06;0.11;0.14;22;880;40
766297.15;6284616.15;0.13;0.11;22;1040;40
766297.1;6284619.31;0.12;0.16;16;960;33.8
766297.05;6284622.08;0.13;0.08;33;1040;33
766297.02;6284625.75;0.06;0.14;32;480;31.7
766296.94;6284627.03;0.14;0.14;32;1120;33.3
766296.9;6284632.12;0.12;0.13;32;960;32.8
766296.88;6284633.62;0.11;0.11;23;880;30.3
766296.76;6284636.91;0.12;0.4;24;960;36.1
766291.74;6284635.84;0.11;0.06;16;880;34.4
766291.85;6284633.98;0.11;0.08;20;880;37.5
766291.92;6284629.78;0.16;0.11;17;1280;34.7
766291.97;6284627.84;0.11;0.09;19;880;36.9
766292.03;6284624.49;0.11;0.09;34;880;33.4
766292.13;6284621.13;0.15;0.09;24;1200;27.9
766292.16;6284619.51;0.11;0.08;19;880;24.4
766292.24;6284615.34;0.18;0.09;31;1440;32.8
766292.33;6284612.41;0.11;0.07;26;880;32.1
766292.41;6284609.87;0.11;0.1;16;880;34.9
766292.47;6284606.77;0.1;0.1;15;800;34
766292.58;6284603.95;0.05;0.09;25;400;30.1
766292.67;6284600.97;0.11;0.09;25;880;31.6
766292.78;6284597.57;0.11;0.07;27;880;33
766292.81;6284594.48;0.19;0.06;18;1520;37.6
766292.83;6284591.97;0.13;0.08;26;1040;32.8
766292.89;6284589.06;0.14;0.09;28;1120;34.9
766292.99;6284585.98;0.18;0.08;24;1440;32.4
766293.03;6284583.46;0.14;0.07;21;1120;38.8
766293.13;6284580.41;0.15;0.09;25;1200;32.6
766293.12;6284577.86;0.11;0.08;20;880;37.5
766293.23;6284573.93;0.17;0.14;33;1360;34.6
766293.24;6284570.57;0.18;0.11;27;1440;30.5
766293.29;6284568.52;0.15;0.17;16;1200;36.7
766293.43;6284565.84;0.2;0.12;23;1600;32.7
766293.5;6284562.51;0.11;0.1;25;880;31.8
766293.55;6284559.29;0.13;0.07;20;1040;37.9
766293.62;6284556.29;0.19;0.07;18;1520;37.7
766293.72;6284552.81;0.13;0.07;22;1040;39.4
766293.79;6284550.71;0.2;0.07;23;1600;31.9
766293.83;6284547.55;0.12;0.07;20;960;37.6
766293.9;6284544.65;0.24;0.06;19;1920;33.6
766293.94;6284540.81;0.14;0.09;17;1120;36.1
766294;6284538.5;0.14;0.08;23;1120;32.5
766294.16;6284535.68;0.17;0.1;17;1360;36.9
766294.25;6284532.49;0.14;0.06;22;1120;39.5
766323.82;6284655.01;0.02;0.28;15;160;16.1
766323.95;6284651.36;0.07;0.22;11;560;26.3
766324;6284648.96;0.12;0.18;22;960;32.2
766324.08;6284646.17;0.14;0.16;17;1120;29.6
766324.16;6284642.48;0.07;0.33;15;560;32.2
766324.22;6284639.76;0.1;0.17;16;800;28.6
766324.29;6284637.55;0.11;0.19;7;880;24.8
766324.4;6284633.53;0.11;0.24;8;880;25.6
766324.46;6284630.39;0.17;0.23;20;1360;32.5
766324.51;6284627.69;0.13;0.15;14;1040;27.9
766324.62;6284624.33;0.09;0.2;18;720;29.8
766324.63;6284621.77;0.11;0.2;15;880;28.6
766324.74;6284619.03;0.13;0.16;19;1040;30.5
766324.8;6284616.52;0.13;0.11;15;1040;28
766324.86;6284613.06;0.19;0.12;13;1520;28
766324.95;6284610.34;0.12;0.08;28;960;34.6
766325.03;6284607.01;0.18;0.11;20;1440;31.4
766325.14;6284604.57;0.12;0.09;21;960;30.7
766325.16;6284601.77;0.18;0.1;24;1440;33.5
766325.26;6284599.52;0.11;0.2;15;880;28.6
766325.27;6284594.98;0.12;0.12;25;960;33.3
766325.36;6284592.33;0.19;0.11;15;1520;28.9
766325.46;6284589.27;0.13;0.11;12;1040;26.6
766325.57;6284586.14;0.13;0.13;18;1040;29.7
766325.67;6284584.39;0.08;0.12;24;640;32
766325.79;6284580.42;0.12;0.09;18;960;29.2
766325.78;6284577.14;0.12;0.13;16;960;28.5
766325.82;6284574.62;0.14;0.08;15;1120;27.9
766326.01;6284571.51;0.13;0.06;16;1040;28
766326.09;6284568.86;0.15;0.07;19;1200;30
766326.14;6284565.27;0.23;0.15;10;1840;27.4
766326.17;6284563.24;0.08;0.2;9;640;17.9
766326.27;6284556.36;0.17;0.05;12;1360;36
766326.34;6284552.54;0.13;0.12;7;1040;26.6
766326.41;6284550.87;0.16;0.09;17;1280;18.6
766326.44;6284547.99;0.17;0.1;17;1360;29.3
766326.59;6284545.06;0.15;0.09;20;1200;29.5
766326.71;6284542.36;0.17;0.13;23;1360;30.7
766326.84;6284539.44;0.16;0.13;20;1280;33.1
766326.94;6284535.59;0.17;0.04;25;1360;31.3
766326.91;6284532.86;0.17;0.23;25;1360;33.3
766323.67;6284531.61;0.21;0.18;28;1680;35.5
766321.96;6284532.89;0.23;0.12;22;1840;37.6
766321.8;6284536.29;0.22;0.09;23;1760;33.5
766321.7;6284539.16;0.17;0.06;23;1360;33.6
766321.6;6284541.9;0.2;0.09;15;1600;32.4
766321.56;6284544.78;0.12;0.1;21;960;28.9
766321.52;6284547.77;0.16;0.13;21;1280;30.8
766321.48;6284550.51;0.2;0.11;25;1600;31.8
766321.37;6284553.73;0.17;0.08;18;1360;34.6
766321.35;6284557.37;0.22;0.14;13;1760;29.8
766321.27;6284559.49;0.13;0.13;14;1040;25.4
766321.17;6284562.34;0.17;0.12;19;1360;27.7
766321.06;6284565.46;0.14;0.11;16;1120;30.8
766321.04;6284568.57;0.2;0.08;25;1600;28.7
766320.93;6284571.36;0.25;0.12;12;2000;34.3
766320.83;6284573.68;0.15;0.1;18;1200;23.9
766320.77;6284576.86;0.19;0.08;18;1520;29.7
766320.72;6284579.21;0.14;0.08;19;1120;30.2
766320.58;6284582.11;0.08;0.18;26;640;29.9
766320.54;6284585.79;0.17;0.1;17;1360;33.8
766320.5;6284588.61;0.13;0.14;21;1040;29.5
766320.44;6284591.54;0.13;0.14;26;1040;31.4
766320.33;6284594.38;0.2;0.09;20;1600;34.3
766320.28;6284597.05;0.16;0.2;10;1280;31.5
766320.24;6284600.18;0.16;0.14;22;1280;26.9
766320.19;6284603.09;0.23;0.17;20;1840;32.5
766320.07;6284606.11;0.2;0.12;23;1600;32.9
766320.01;6284609.29;0.14;0.14;21;1120;33.5
766319.94;6284611.7;0.19;0.09;26;1520;31.6
766319.88;6284615.17;0.08;0.16;23;640;34.8
766319.83;6284617.68;0.12;0.16;29;960;31.9
766319.75;6284620.77;0.17;0.19;14;1360;36.2
766319.66;6284623.68;0.14;0.13;16;1120;28.9
766319.57;6284626.93;0.2;0.18;8;1600;28.8
766319.51;6284630.09;0.15;0.16;18;1200;26.3
766319.46;6284632.48;0.15;0.17;19;1200;30.3
766319.37;6284635.21;0.16;0.15;19;1280;31
766319.39;6284638.29;0.15;0.39;10;1200;30.9
766319.35;6284640.16;0.09;0.32;14;720;28.5
766319.1;6284644.21;0.18;0.1;21;1440;29.9
766316.14;6284642.88;0.2;0.22;22;1600;31.8
766314.26;6284638.35;0.14;0.11;17;1120;34.1
766314.34;6284635.62;0.14;0.07;16;1120;29.2
766314.5;6284632.69;0.1;0.08;20;800;28.3
766314.44;6284628.51;0.09;0.27;28;720;29.8
766314.48;6284627.05;0.12;0.1;11;960;36.6
766314.69;6284622.88;0.15;0.04;14;1200;25.9
766314.73;6284620.34;0.16;0.14;16;1280;18
766314.77;6284617.82;0.15;0.07;10;1200;24.6
766314.84;6284614.93;0.11;0.07;19;880;25.6
766314.92;6284611.71;0.13;0.1;14;1040;29.3
766315.02;6284608.72;0.11;0.1;19;880;27.4
766315.07;6284605.63;0.12;0.09;16;960;29.6
766315.1;6284603.3;0.11;0.2;20;880;28.2
766315.14;6284599.95;0.16;0.12;14;1280;31.2
766315.18;6284597.97;0.13;0.12;10;1040;23.6
766315.35;6284593.39;0.11;0.13;20;880;25.8
766315.4;6284591.58;0.17;0.15;8;1360;30.4
766315.56;6284588.31;0.14;0.12;21;1120;25.7
766315.66;6284586.46;0.21;0.24;8;1680;31.4
766315.79;6284581.63;0.13;0.11;22;1040;16.7
766315.74;6284579.17;0.15;0.09;23;1200;31.7
766315.8;6284575.64;0.22;0.08;13;1760;32.3
766315.86;6284573.43;0.14;0.09;15;1120;28.1
766315.98;6284570.72;0.1;0.06;25;800;28
766316.04;6284567.9;0.15;0.1;16;1200;32.3
766316.09;6284565.02;0.13;0.11;9;1040;28.7
