X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766815.88;6284756.19;1.1;0.59;0.66;8800
766806.94;6284756.43;1.37;0.46;0.51;10960
766805.14;6284757.41;1.42;0.31;0.9;11360
766802.58;6284758.79;1.04;0.62;0.58;8320
766800.25;6284759.97;1.41;0.51;0.69;11280
766797.67;6284761.43;1.16;0.37;0.79;9280
766794.95;6284762.87;1.12;0.29;0.83;8960
766792.65;6284764.05;1.54;0.33;0.87;12320
766790.28;6284765.27;1.16;0.38;0.89;9280
766787.93;6284766.54;1.57;0.46;0.82;12560
766784.93;6284768.07;1.42;0.46;0.79;11360
766782.64;6284769.26;1.49;0.4;0.86;11920
766780.1;6284770.59;1.31;0.43;0.76;10480
766777.74;6284771.92;1.43;0.36;0.87;11440
766775.21;6284773.25;1.18;0.38;0.84;9440
766772.49;6284774.72;1.26;0.46;0.8;10080
766769.45;6284776.34;1.33;0.32;0.78;10640
766767.93;6284777.15;1.44;0.44;0.91;11520
766764.91;6284778.76;1.46;0.38;0.9;11680
766763.18;6284779.67;1.33;0.31;0.8;10640
766759.96;6284781.46;1.46;0.33;0.77;11680
766757.39;6284782.72;1.51;0.48;0.81;12080
766755.01;6284783.94;1.56;0.46;0.88;12480
766752.52;6284785.19;1.14;0.41;0.63;9120
766750.21;6284786.53;1.05;0.45;0.46;8400
766746.67;6284788.49;1.52;0.36;0.66;12160
766745.38;6284789.17;1.45;0.5;0.77;11600
766742.64;6284790.64;1.29;0.55;0.68;10320
766739.54;6284792.23;1.34;0.36;0.79;10720
766737.72;6284793.2;1.45;0.6;0.48;11600
766735.16;6284794.57;1.44;0.46;0.69;11520
766732.52;6284796.08;1.18;0.43;0.74;9440
766729.95;6284797.46;1.28;0.31;0.9;10240
766728.1;6284798.45;1.03;0.44;0.55;8240
766724.65;6284800.14;1.1;0.37;0.7;8800
766722.16;6284801.51;1.25;0.35;0.75;10000
766719.54;6284802.89;1.16;0.28;0.83;9280
766716.96;6284804.16;1.61;0.37;0.86;12880
766714.45;6284805.34;1.38;0.52;0.77;11040
766711.72;6284806.93;1.46;0.33;0.87;11680
766709.44;6284808.1;1.05;0.36;0.72;8400
766706.62;6284809.69;1.42;0.35;0.74;11360
766704.24;6284810.95;1.29;0.35;0.69;10320
766701.55;6284812.34;1.35;0.35;0.87;10800
766699.05;6284813.62;1.39;0.42;0.87;11120
766697.1;6284814.66;1.41;0.5;0.82;11280
766693.21;6284816.6;1.3;0.31;0.64;10400
766691.55;6284817.55;1.57;0.38;0.82;12560
766689.28;6284818.78;1.36;0.69;0.71;10880
766686.41;6284820.25;1.5;0.21;0.88;12000
766683.51;6284821.81;1.04;0.45;0.64;8320
766680.92;6284823.12;1.33;0.42;0.81;10640
766678.85;6284824.17;1.38;0.45;0.84;11040
766676.25;6284825.6;1.68;0.33;0.87;13440
766673.69;6284827.04;1.54;0.52;0.84;12320
766670.87;6284828.42;1.67;0.44;0.79;13360
766668.29;6284829.79;1.31;0.41;0.73;10480
766665.94;6284831.09;1.45;0.37;0.71;11600
766663.06;6284832.63;1.44;0.41;0.74;11520
766660.9;6284833.73;1.03;0.43;0.58;8240
766658.44;6284834.88;1.3;0.38;0.68;10400
766655.95;6284836.17;1.12;0.42;0.71;8960
766652.92;6284835.48;1.6;0.71;0.92;12800
766653.03;6284832.29;1.36;0.71;0.84;10880
766655.44;6284830.98;1.56;0.46;0.83;12480
766657.42;6284829.86;1.09;0.5;0.73;8720
766660.94;6284827.99;1.18;0.42;0.76;9440
766663.4;6284826.58;1.45;0.31;0.82;11600
766665.67;6284825.42;1.67;0.38;0.94;13360
766668.37;6284824.03;1.6;0.32;0.85;12800
766670.89;6284822.71;1.41;0.56;0.74;11280
766673.55;6284821.41;1.48;0.46;0.83;11840
766676.31;6284820;1.46;0.43;0.8;11680
766678.72;6284818.76;1.21;0.38;0.79;9680
766681.46;6284817.28;1.53;0.28;0.89;12240
766683.94;6284815.98;1.38;0.24;0.85;11040
766686.14;6284814.85;1.63;0.31;0.9;13040
766688.89;6284813.47;1.01;0.5;0.53;8080
766691.33;6284812.07;1.43;0.37;0.84;11440
766694.46;6284810.4;1.26;0.34;0.74;10080
766696.38;6284809.44;1.62;0.26;0.96;12960
766698.89;6284808.12;1.39;0.72;0.83;11120
766701.56;6284806.69;1.3;0.37;0.82;10400
766703.92;6284805.53;1.45;0.44;0.72;11600
766705.86;6284804.44;1.29;0.29;0.77;10320
766708.75;6284802.98;1.19;0.59;0.85;9520
766710.97;6284801.72;1.53;0.46;0.73;12240
766713.24;6284800.43;1.54;0.4;0.86;12320
766715.59;6284799.1;1.31;0.39;0.86;10480
766718.02;6284797.86;1.23;0.41;0.72;9840
766720.71;6284796.54;1.24;0.37;0.71;9920
766722.85;6284795.45;1.37;0.41;0.78;10960
766726.06;6284793.74;1.31;0.65;0.83;10480
766728.45;6284792.49;1.35;0.32;0.83;10800
766731.18;6284791.08;1.4;0.4;0.87;11200
766733.7;6284789.77;1.25;0.35;0.78;10000
766736.29;6284788.37;1.46;0.39;0.88;11680
766738.78;6284786.9;1.32;0.24;0.8;10560
766741.35;6284785.61;1;0.44;0.75;8000
766744.1;6284784.12;1.13;0.33;0.8;9040
766746.48;6284782.83;1.3;0.29;0.8;10400
766749.31;6284781.27;1.46;0.32;0.77;11680
766751.76;6284779.95;1.29;0.38;0.92;10320
766754.01;6284778.72;1.22;0.43;0.77;9760
766756.76;6284777.3;1.54;0.41;0.91;12320
766758.91;6284776.13;1.48;0.45;0.82;11840
766762.49;6284774.31;1.35;0.42;0.75;10800
766764.44;6284773.3;1.21;0.36;0.89;9680
766766.97;6284771.92;1.27;0.49;0.83;10160
766769.81;6284770.43;1.24;0.4;0.85;9920
766772.29;6284769.1;1.67;0.29;0.9;13360
766774.4;6284767.92;1.35;0.48;0.76;10800
766777.51;6284766.18;1.09;0.35;0.72;8720
766780.34;6284764.71;1.35;0.67;0.75;10800
766782.91;6284763.42;1.25;0.37;0.75;10000
766785.02;6284762.35;1.7;0.34;0.79;13600
766787.91;6284760.89;1.4;0.27;0.85;11200
766790.14;6284759.67;1.18;0.41;0.81;9440
766793.23;6284758.04;1.16;0.36;0.85;9280
766795.57;6284756.84;1.36;0.3;0.93;10880
766798.23;6284755.42;1.52;0.52;0.98;12160
766800.79;6284754.12;1.55;0.85;0.98;12400
766802.13;6284753.33;1.14;1.1;0.89;9120
766793.74;6284752.24;1.15;0.51;0.75;9200
766790.97;6284753.61;1.11;0.39;0.45;8880
766789.06;6284754.61;1.64;0.32;0.71;13120
766786.72;6284755.9;1.06;0.5;0.68;8480
766783.74;6284757.48;1.04;0.41;0.59;8320
