X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766309.99;6284532.25;0.84;0.92;30;6720;54.9;49.6
766309.87;6284534.02;0.78;0.35;60;6240;68.1;25.6
766309.77;6284537.84;0.73;0.37;52;5840;57.7;32
766309.68;6284540.04;0.74;0.38;58;5920;64.9;27.2
766309.62;6284542.19;0.82;0.39;14;6560;34.7;62.4
766309.6;6284546;0.74;0.33;52;5920;57.3;32
766309.5;6284548.87;0.89;0.4;51;7120;62.5;32.8
766309.41;6284551.87;0.77;0.33;45;6160;51.3;37.6
766309.33;6284554.13;0.8;0.37;44;6400;51.9;38.4
766309.22;6284557.27;0.81;0.37;55;6480;63.7;29.6
766309.17;6284560.09;0.79;0.31;39;6320;46.2;42.4
766309.14;6284563.13;0.71;0.35;59;5680;64.4;26.4
766309.06;6284565.46;0.74;0.3;62;5920;67.9;24
766308.95;6284569.46;0.84;0.37;43;6720;52.1;39.2
766308.89;6284571.89;0.79;0.35;55;6320;62.6;29.6
766308.81;6284574.16;0.72;0.37;55;5760;60.6;29.6
766308.7;6284577.26;0.75;0.26;59;6000;63.8;26.4
766308.66;6284580.83;0.71;0.3;41;5680;45.7;40.8
766308.57;6284582.83;0.74;0.45;50;5920;57.5;33.6
766308.52;6284586.47;0.86;0.93;15;6880;47.5;61.6
766308.38;6284588.93;0.83;1.02;35;6640;60.4;45.6
766308.31;6284592.09;0.77;0.35;56;6160;63;28.8
766308.32;6284594.19;0.76;0.4;45;6080;52.2;37.6
766308.24;6284597.34;0.74;0.33;59;5920;65;26.4
766308.12;6284600.24;0.75;0.37;62;6000;69.9;24
766308.05;6284602.57;0.83;0.33;50;6640;58;33.6
766307.92;6284606.07;0.78;0.64;52;6240;65.1;32
766307.79;6284608.48;0.77;0.38;56;6160;63.7;28.8
766307.75;6284612.2;0.86;0.81;39;6880;58.8;42.4
766307.68;6284614.68;0.81;0.4;56;6480;65.5;28.8
766307.64;6284617.61;0.76;0.37;63;6080;71.6;23.2
766307.55;6284620.48;0.81;0.43;47;6480;56.2;36
766307.43;6284623.33;0.78;0.38;63;6240;72.6;23.2
766307.45;6284625.94;0.81;0.4;46;6480;54.7;36.8
766307.39;6284629.1;0.76;0.44;57;6080;65.8;28
766307.28;6284631.87;0.8;0.4;48;6400;56.4;35.2
766307.16;6284634.63;0.87;1.12;44;6960;73;38.4
766307.1;6284637.83;0.78;0.46;58;6240;68.2;27.2
766307.05;6284640.64;0.83;0.49;34;6640;46.2;46.4
766307.04;6284642.13;0.86;0.53;49;6880;62;34.4
766302.13;6284640.65;0.79;0.34;62;6320;70.7;24
