X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766885.74;6284816.83;0.68;0.42;0.78;5440
766885.25;6284819.56;0.66;0.26;0.81;5280
766884.77;6284821.86;0.68;0.44;0.81;5440
766889.76;6284822.49;0.63;0.32;0.84;5040
766890.07;6284820.98;0.57;0.33;0.65;4560
766891.05;6284816.99;0.6;0.34;0.78;4800
766891.64;6284814.16;0.6;0.26;0.73;4800
766892.3;6284811.07;0.61;0.24;0.75;4880
766892.89;6284808.16;0.66;0.25;0.76;5280
766893.43;6284805.24;0.58;0.31;0.76;4640
766894.09;6284802.3;0.6;0.22;0.71;4800
766894.72;6284799.26;0.6;0.31;0.7;4800
766895.38;6284796.43;0.68;0.27;0.69;5440
766895.99;6284793.31;0.61;0.26;0.74;4880
766896.56;6284790.44;0.6;0.32;0.79;4800
766897.21;6284787.64;0.58;0.32;0.8;4640
766897.82;6284784.6;0.59;0.34;0.79;4720
766898.43;6284781.84;0.64;0.39;0.78;5120
766899.09;6284778.89;0.62;0.33;0.84;4960
766899.66;6284776.07;0.62;0.37;0.87;4960
766900.31;6284773.21;0.66;0.3;0.87;5280
766900.84;6284770.41;0.6;0.41;0.81;4800
766901.34;6284767.9;0.65;0.39;0.81;5200
766902;6284764.7;0.64;0.39;0.82;5120
766902.6;6284761.92;0.72;0.3;0.86;5760
766903.19;6284758.83;0.7;0.39;0.86;5600
766903.66;6284756.49;0.73;0.56;0.64;5840
766904.38;6284753.28;0.7;0.5;0.73;5600
766904.97;6284750.42;0.62;0.38;0.79;4960
766905.67;6284747.35;0.66;0.32;0.8;5280
766906.44;6284743.46;0.82;0.65;0.66;6560
766906.84;6284741.62;0.57;0.36;0.83;4560
766907.49;6284738.73;0.73;0.5;0.76;5840
766907.9;6284736.75;0.7;0.23;0.83;5600
766912.95;6284736.95;0.57;0.49;0.81;4560
766912.37;6284739.58;0.61;0.3;0.81;4880
766911.67;6284742.58;0.62;0.31;0.8;4960
766911.12;6284745.14;0.64;0.38;0.76;5120
766910.52;6284748.04;0.68;0.31;0.74;5440
766909.83;6284751.42;0.68;0.28;0.77;5440
766909.27;6284754.03;0.66;0.48;0.75;5280
766908.7;6284756.79;0.67;0.38;0.72;5360
766908.07;6284759.75;0.68;0.47;0.81;5440
766907.56;6284762.29;0.7;0.39;0.79;5600
766907.02;6284764.54;0.74;0.41;0.75;5920
766906.3;6284768.21;0.15;0.07;0.72;1200
766905.53;6284771.89;0.79;0.3;0.72;6320
766905.18;6284773.77;0.65;0.46;0.82;5200
766904.67;6284776.55;0.6;0.4;0.87;4800
766904.03;6284779.47;0.61;0.37;0.87;4880
766903.41;6284782.34;0.61;0.34;0.89;4880
766902.84;6284785.06;0.57;0.41;0.93;4560
766902.3;6284787.99;0.65;0.38;0.86;5200
766901.68;6284790.9;0.59;0.31;0.89;4720
766901.01;6284793.79;0.53;0.33;0.9;4240
766900.34;6284796.83;0.56;0.35;0.68;4480
766899.87;6284799.31;0.65;0.3;0.7;5200
766899.3;6284802.03;0.75;0.29;0.66;6000
766898.42;6284805.89;0.68;0.3;0.65;5440
766897.82;6284808.34;0.66;0.24;0.69;5280
766897.12;6284811.9;0.64;0.31;0.69;5120
766896.64;6284814.31;0.63;0.27;0.72;5040
766895.98;6284817.16;0.63;0.28;0.78;5040
766895.37;6284820.17;0.62;0.37;0.77;4960
766894.86;6284822.27;0.65;0.24;0.74;5200
766896.6;6284825.14;0.37;0.37;0.81;2960
766899.92;6284823.49;0.63;0.17;0.76;5040
766900.54;6284820.6;0.61;0.23;0.71;4880
766901.21;6284817.51;0.6;0.22;0.75;4800
766901.86;6284814.6;0.6;0.32;0.69;4800
766902.54;6284811.67;0.61;0.23;0.8;4880
766903.16;6284808.87;0.66;0.25;0.73;5280
766903.77;6284806.02;0.6;0.32;0.83;4800
766904.32;6284802.98;0.6;0.26;0.82;4800
766905.04;6284799.57;0.63;0.26;0.85;5040
766905.68;6284796.91;0.6;0.28;0.87;4800
