X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766907.71;6284739.24;1.44;0.66;80;11520;153.3
766908.24;6284736.89;1.24;0.6;50;9920;77.4
766913.59;6284736.79;1.2;0.51;73;9600;112
766913.14;6284739.2;1.12;0.56;82;8960;124.9
766912.49;6284741.98;1.18;0.44;81;9440;126.1
766911.94;6284744.81;1.02;0.52;72;8160;96.7
766911.28;6284747.9;0.98;0.62;71;7840;93.5
766910.69;6284750.75;1.21;0.41;78;9680;121.5
766910.09;6284753.57;1.16;0.38;71;9280;103.1
766909.48;6284756.47;1.25;0.48;79;10000;128.4
766908.88;6284759.27;1.17;0.43;78;9360;118.3
766908.3;6284762.33;1.25;0.4;77;10000;122.7
766907.7;6284764.77;1.11;0.39;61;8880;83.3
766907.02;6284768.05;1.04;0.09;7;8320;48.2
766906.29;6284771.38;1.16;0.52;35;9280;66.3
766905.84;6284773.6;1.23;0.41;72;9840;110.7
766905.32;6284776.48;1.15;0.29;81;9200;120.9
766904.74;6284779.26;1.2;0.43;76;9600;116.7
766904.19;6284782.14;1.12;0.62;74;8960;109
766903.69;6284784.86;1.03;0.42;80;8240;111
766903.06;6284787.73;1.07;0.49;78;8560;111.2
766902.49;6284790.37;1.05;0.48;74;8400;101.9
766901.82;6284793.28;1.02;0.35;76;8160;101.7
766901.23;6284795.92;1.09;0.88;52;8720;74.6
766900.66;6284798.82;0.99;0.55;54;7920;68.9
766900;6284802.18;0.87;0.52;61;6960;71.4
766899.34;6284805.14;1.19;0.42;52;9520;75.5
766898.73;6284807.94;1.26;0.47;72;10080;114
766898.04;6284810.79;1.21;0.4;61;9680;89.6
766897.41;6284813.67;1.06;0.37;71;8480;95.8
766896.76;6284816.63;1.14;0.39;76;9120;111.2
766896.19;6284819.57;1.29;0.4;78;10320;128.4
766895.66;6284822.19;1.2;0.65;70;9600;107.8
766897.09;6284825.52;0.85;0.79;50;6800;61.2
766900.16;6284824.16;1.28;0.38;80;10240;131.8
766900.72;6284821.4;1.18;0.36;71;9440;104.2
766901.28;6284818.8;1.07;0.33;69;8560;92.6
766901.88;6284816.21;0.9;0.34;67;7200;79.3
766902.52;6284813.49;0.93;0.43;74;7440;92.9
766903.13;6284810.65;1.02;0.28;63;8160;79.8
766903.78;6284807.88;1.09;0.38;57;8720;76.4
766904.44;6284805.12;0.96;0.41;62;7680;76.4
766904.93;6284802.64;1.26;0.41;62;10080;94.7
766905.68;6284799.24;0.97;0.38;66;7760;82.3
766906.24;6284796.51;1.01;0.39;70;8080;91.1
766906.86;6284793.33;1.3;0.56;72;10400;118.9
766907.4;6284790.76;1.06;0.51;70;8480;95.8
766907.98;6284787.83;0.9;0.74;67;7200;83.5
766908.5;6284784.75;1.21;0.34;76;9680;116.1
766908.99;6284781.91;1.21;0.35;78;9680;120.6
766909.59;6284779.18;1.18;0.4;75;9440;112.7
766910.15;6284776.11;1.23;0.39;80;9840;127.4
766910.83;6284773.16;0.99;0.58;69;7920;90.4
766911.42;6284770.49;1.24;0.47;65;9920;99.2
766912.14;6284766.9;1.22;0.88;31;9760;72.1
766912.58;6284764.55;1.25;0.39;63;10000;95.4
766913.24;6284761.7;1.27;0.87;14;10160;67.7
766914;6284757.99;1.26;0.41;63;10080;96.4
766914.51;6284755.6;1.35;0.43;80;10800;139.6
766915.18;6284752.79;1.13;0.36;67;9040;93.6
766915.87;6284749.78;1.18;0.48;72;9440;107.8
766916.49;6284746.75;1.22;0.36;73;9760;111.2
766917.04;6284743.95;1.31;0.41;68;10480;109.3
766917.71;6284740.93;1.39;0.47;79;11120;141.9
766918.33;6284738.08;1.35;0.26;81;10800;139.2
766919.13;6284734.73;1.31;0.53;83;10480;144.8
766920.35;6284732.17;1.39;0.39;82;11120;148.3
766924.29;6284733.92;1.23;0.53;82;9840;134.6
766923.71;6284736.95;1.34;0.36;79;10720;135
766923.16;6284739.81;1.25;0.33;84;10000;137.6
766922.55;6284742.64;1.32;0.41;81;10560;138.8
766921.98;6284745.5;1.18;0.47;75;9440;113.7
766921.27;6284748.67;1.09;0.47;72;8720;101.1
766920.68;6284751.56;1.18;0.35;80;9440;122.4
766920.13;6284754.49;1.1;0.42;79;8800;114.5
766919.51;6284757.32;1.12;0.38;73;8960;103.8
766918.87;6284760.14;1.19;0.62;65;9520;97.7
766918.17;6284763.3;1.27;0.33;73;10160;114.8
766917.59;6284766.13;1.21;0.34;75;9680;114.3
766917;6284769.07;1.14;0.34;78;9120;114.5
766916.41;6284771.96;1.17;0.45;76;9360;114.5
766915.84;6284774.94;1.18;0.61;78;9440;122.1
766915.25;6284777.62;1.2;0.42;72;9600;108.5
766914.61;6284780.61;1.23;0.27;74;9840;112.7
766914.01;6284783.38;1.26;0.29;83;10080;135.7
766913.42;6284786.24;1.13;0.35;76;9040;110
766912.85;6284789.1;1.08;0.33;79;8640;111.5
766912.21;6284791.98;0.99;0.37;74;7920;96.2
766911.65;6284794.86;1.03;0.28;68;8240;87.9
766911.13;6284797.72;1.02;0.38;74;8160;98.5
766910.64;6284800.32;0.94;0.51;77;7520;99.6
766909.96;6284803.23;0.96;0.35;74;7680;93.8
766909.36;6284806;1.01;0.31;76;8080;100.2
766908.74;6284809.03;1.05;0.33;67;8400;88.2
766908.15;6284812.08;1.17;0.4;59;9360;84
766907.57;6284814.97;1.18;0.35;66;9440;95.3
766906.97;6284817.9;1.15;0.35;68;9200;96.7
766906.3;6284820.59;1.24;0.3;71;9920;108.1
766905.57;6284823.6;1.28;0.29;77;10240;123.6
