X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766317.28;6284540.19;0.76;0.32;0.91;6080
766317.38;6284537.57;0.79;0.47;0.67;6320
766317.45;6284534.88;0.84;0.38;0.73;6720
766317.45;6284532.45;0.82;0.47;0.5;6560
766312.45;6284531.58;0.83;0.54;0.83;6640
766312.35;6284535.04;0.88;0.38;0.8;7040
766312.28;6284537;0.79;0.31;0.94;6320
766312.18;6284540.12;0.79;0.35;0.86;6320
766312.12;6284542.95;0.81;0.44;0.87;6480
766312.09;6284545.59;0.83;0.29;0.94;6640
766312;6284548.42;0.75;0.32;0.84;6000
766311.93;6284551.12;0.8;0.4;0.87;6400
766311.83;6284554.56;0.72;0.35;0.91;5760
766311.73;6284557.44;0.75;0.38;0.83;6000
766311.68;6284560.54;0.78;0.39;0.88;6240
766311.63;6284563.13;0.81;0.32;0.9;6480
766311.58;6284565.14;0.72;0.31;0.76;5760
766311.48;6284568.59;0.72;0.3;0.73;5760
766311.41;6284571.58;0.82;0.32;0.94;6560
766311.32;6284574.41;0.77;0.4;0.95;6160
766311.15;6284577.53;0.8;0.38;0.76;6400
766311.14;6284579.87;0.79;0.4;0.82;6320
766311.04;6284583.22;0.78;0.35;0.91;6240
766311.02;6284585.44;0.75;0.33;0.88;6000
766310.91;6284589;0.77;0.35;0.92;6160
766310.82;6284591.38;0.93;0.87;0.64;7440
766310.81;6284594.68;0.81;0.36;0.94;6480
766310.7;6284597.55;0.79;0.31;0.85;6320
766310.62;6284600.25;0.76;0.39;0.9;6080
766310.53;6284603.28;0.76;0.43;0.89;6080
766310.41;6284606.37;0.84;0.34;0.83;6720
766310.26;6284608.9;0.74;0.32;0.89;5920
766310.25;6284612;0.76;0.34;0.91;6080
766310.17;6284614.7;0.73;0.38;0.89;5840
766310.13;6284617.72;0.74;0.4;0.77;5920
766310.08;6284620.46;0.76;0.41;0.81;6080
766309.94;6284624.02;0.92;0.39;0.78;7360
766309.93;6284626.06;0.83;0.36;0.89;6640
766309.88;6284629.38;0.75;0.38;0.94;6000
766309.77;6284631.96;0.79;0.33;0.95;6320
766309.65;6284634.57;0.87;0.36;0.84;6960
766309.63;6284637.37;0.83;0.36;0.85;6640
766309.55;6284640.73;0.8;0.31;0.86;6400
766309.54;6284642.15;0.91;0.35;0.91;7280
766304.71;6284640.11;0.35;0.45;0.25;2800
766304.74;6284637.57;0.94;0.99;0.77;7520
766304.78;6284635.23;0.93;0.95;0.73;7440
766304.87;6284632.22;0.88;0.49;0.81;7040
766305.01;6284628.88;0.93;0.85;0.76;7440
766305.04;6284626.45;0.86;0.44;0.87;6880
766305.11;6284624.15;0.81;0.42;0.9;6480
766305.22;6284620.1;0.85;0.69;0.61;6800
766305.28;6284618.09;0.85;0.46;0.85;6800
766305.35;6284615.55;0.86;0.55;0.82;6880
766305.5;6284611.95;0.81;0.38;0.91;6480
766305.51;6284608.63;0.8;0.39;0.81;6400
766305.63;6284605.97;0.84;0.41;0.83;6720
766305.66;6284603.27;0.88;0.41;0.82;7040
766305.63;6284600.52;0.91;0.49;0.83;7280
766305.76;6284597.73;0.81;0.28;0.93;6480
766305.87;6284594.9;0.86;0.46;0.81;6880
766305.93;6284592.05;0.81;0.34;0.94;6480
766305.98;6284589.15;0.85;0.59;0.6;6800
766306.04;6284586.63;0.94;0.45;0.82;7520
766306.13;6284582.67;0.82;0.37;0.78;6560
766306.13;6284580.62;0.81;0.43;0.88;6480
766306.24;6284577.12;0.88;0.43;0.86;7040
766306.37;6284575.1;0.78;0.4;0.87;6240
766306.38;6284571.95;0.9;0.46;0.76;7200
766306.4;6284568.64;0.89;0.34;0.9;7120
766306.53;6284565.85;0.83;0.39;0.95;6640
766306.64;6284562.56;0.83;0.42;0.9;6640
766306.72;6284559.84;0.86;0.4;0.89;6880
766306.81;6284557.14;0.72;0.36;0.84;5760
766306.86;6284554.17;0.8;0.31;0.88;6400
766306.91;6284551.45;0.74;0.34;0.87;5920
766307.03;6284548.46;0.74;0.36;0.89;5920
766307.06;6284546.16;0.75;0.34;0.69;6000
766307.17;6284542.14;0.91;0.59;0.36;7280
766307.21;6284540.23;0.76;0.37;0.9;6080
766307.3;6284536.98;0.74;0.38;0.93;5920
766307.39;6284534.21;0.71;0.34;0.86;5680
766307.41;6284532.1;0.79;0.39;0.88;6320
766302.35;6284531.82;0.9;0.49;0.98;7200
766302.36;6284534.72;0.84;0.8;0.87;6720
766302.35;6284537.22;0.86;0.88;0.84;6880
766302.21;6284540.13;0.81;0.42;0.83;6480
766302.07;6284543.05;0.83;0.36;0.95;6640
766302;6284545.89;0.82;0.35;0.95;6560
766301.94;6284548.87;0.84;0.42;0.9;6720
766301.9;6284551.49;0.83;0.37;0.88;6640
766301.85;6284554.35;0.81;0.38;0.84;6480
766301.79;6284557.34;0.81;0.33;0.86;6480
766301.71;6284560.55;0.75;0.35;0.83;6000
766301.57;6284563.14;0.79;0.32;0.88;6320
766301.53;6284565.86;0.81;0.37;0.88;6480
766301.58;6284569.56;0.94;0.4;0.58;7520
766301.47;6284571.64;0.86;0.43;0.85;6880
766301.41;6284573.83;0.85;0.4;0.7;6800
766301.33;6284576.96;0.85;0.89;0.84;6800
766301.3;6284580.42;0.76;0.36;0.93;6080
766301.14;6284583.03;0.8;0.4;0.95;6400
766301.13;6284585.66;0.81;0.34;0.88;6480
766300.95;6284588.89;0.83;0.45;0.86;6640
766300.91;6284591.43;0.83;0.32;0.9;6640
766300.83;6284594.8;0.82;0.46;0.81;6560
766300.82;6284597.39;0.82;0.8;0.79;6560
766300.72;6284599.89;0.82;0.35;0.88;6560
766300.67;6284603.52;0.82;0.46;0.48;6560
766300.6;6284606.24;0.84;0.31;0.88;6720
766300.47;6284608.76;0.75;0.38;0.95;6000
766300.49;6284611.24;0.85;0.43;0.82;6800
766300.41;6284615.39;0.81;0.42;0.84;6480
766300.27;6284617.84;0.83;0.41;0.6;6640
766300.21;6284620.26;0.74;0.43;0.94;5920
766300.06;6284623.01;0.8;0.49;0.9;6400
766300.03;6284626.36;0.78;0.39;0.79;6240
766300.02;6284628.02;0.8;0.61;0.62;6400
766299.92;6284631.91;0.7;0.95;0.69;5600
766299.91;6284634.46;0.7;0.4;0.9;5600
766299.83;6284637.22;0.8;0.5;0.86;6400
