X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766663.28;6284842.72;0.7;0.37;62;5600;75.2
766660.27;6284844.33;0.54;0.39;57;4320;65.8
766656.31;6284841.38;0.6;0.48;50;4800;52.6
766658.17;6284840.04;0.53;0.34;53;4240;51.8
766660.62;6284838.73;0.59;0.34;57;4720;58.1
766663.41;6284837.3;0.72;0.37;54;5760;60.7
766666.21;6284835.9;0.64;0.34;67;5120;72
766668.81;6284834.6;0.72;0.34;64;5760;72.2
766671.56;6284833.12;0.61;0.49;64;4880;68.1
766674.1;6284831.77;0.61;0.31;66;4880;68.9
766676.86;6284830.32;0.61;0.42;61;4880;64
766679.4;6284828.96;0.67;0.27;64;5360;69.1
766682.12;6284827.49;0.61;0.37;59;4880;61.3
766684.72;6284826.03;0.61;0.37;59;4880;61.3
766687.28;6284824.7;0.63;0.52;59;5040;63.4
766689.94;6284823.32;0.65;0.43;62;5200;67.1
766692.67;6284821.98;0.68;0.34;64;5440;70.2
766695.16;6284820.67;0.64;0.42;70;5120;76.8
766697.75;6284819.36;0.58;0.45;59;4640;60.6
766700.3;6284817.98;0.65;0.36;63;5200;67.7
766702.96;6284816.6;0.53;0.53;54;4240;54
766705.6;6284815.17;0.63;0.51;61;5040;65.6
766708.11;6284813.85;0.62;0.61;56;4960;60.4
766710.65;6284812.52;0.72;0.34;64;5760;72.2
766713.21;6284811.23;0.67;0.38;50;5360;54.6
766715.78;6284809.83;0.62;0.53;49;4960;52.7
766718.39;6284808.53;0.76;0.33;59;6080;67.9
766720.93;6284807.26;0.62;0.33;53;4960;55.2
766723.72;6284805.76;0.76;0.49;52;6080;61.2
766725.97;6284804.55;0.75;0.32;57;6000;65
766729.06;6284802.95;0.76;0.33;59;6080;67.9
766731.59;6284801.6;0.7;0.27;60;5600;65.7
766734.19;6284800.23;0.69;0.33;53;5520;58
766737.03;6284798.7;0.65;0.42;40;5200;48.5
766739.69;6284797.24;0.65;0.33;51;5200;54.4
766742.33;6284795.8;0.72;0.46;42;5760;51.8
766745.02;6284794.43;0.67;0.44;59;5360;64.6
766747.65;6284793.06;0.55;0.53;59;4400;60
766750.14;6284791.79;0.72;0.42;65;5760;74.2
766752.93;6284790.31;0.65;0.4;60;5200;64.5
766755.45;6284788.95;0.66;0.34;64;5280;69.2
766758.1;6284787.49;0.66;0.33;70;5280;76.9
766760.66;6284786.06;0.67;0.3;72;5360;80
766763.36;6284784.73;0.63;0.4;69;5040;74.6
766765.84;6284783.36;0.66;0.46;67;5280;74.1
766768.48;6284781.94;0.62;0.44;60;4960;63.5
766770.97;6284780.64;0.69;0.4;58;5520;64
766773.54;6284779.27;0.73;0.45;61;5840;70
766776.14;6284777.84;0.69;0.43;51;5520;56.7
766778.99;6284776.4;0.75;0.42;56;6000;64.6
766781.43;6284775.11;0.77;0.33;64;6160;74.8
766784.17;6284773.69;0.76;0.21;60;6080;68.1
766786.51;6284772.48;0.7;0.43;47;5600;53.2
766789.17;6284771.04;0.75;0.47;55;6000;64
766791.82;6284769.7;0.77;0.27;57;6160;65.5
766794.74;6284768.17;0.79;0.41;60;6320;71.4
766797.15;6284766.96;0.64;0.53;59;5120;64
766799.77;6284765.53;0.59;0.36;57;4720;58.3
